,Company,TypeName,Inches,Ram,Weight,Price,IPS Panel,Display,TouchScreen,First_Res,Second_Res,Processor,Speed,SSD,HDD,Hybrid,Flash_Storage,Graphics_Card,OS,Resolution
29,HP,Notebook,17.3,8,2.5,47738.88,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,0,1024,0,0,Nvidia,Windows,1920x1080
30,Chuwi,Notebook,15.6,4,1.89,13053.0672,No,Full HD Display,No,1920,1080,Other Intel Processor,1.44,0,0,0,64,Intel,Windows,1920x1080
31,Asus,Notebook,14.0,2,1.65,10602.72,No,HD Display,No,1366,768,AMD Processor,1.5,0,0,0,32,AMD,Windows,1366x768
32,HP,Notebook,17.3,4,2.71,23389.92,No,Full HD Display,No,1920,1080,AMD Processor,2.5,0,500,0,0,AMD,Windows,1920x1080
33,Dell,Ultrabook,13.3,16,1.2,99580.32,No,Quad HD+ Display,Yes,3200,1800,Intel Core i7,1.8,512,0,0,0,Intel,Windows,3200x1800
34,Apple,Ultrabook,13.3,8,1.35,53173.44,No,HD Display,No,1440,900,Intel Core i5,1.6,0,0,0,256,Intel,Other OS,1440x900
35,Lenovo,Notebook,14.0,4,1.44,13266.72,No,HD Display,No,1366,768,Other Intel Processor,1.1,0,0,0,64,Intel,Windows,1366x768
36,Acer,Notebook,15.6,4,2.1,19553.76,No,HD Display,No,1366,768,Intel Core i3,2.7,0,1024,0,0,Intel,Other OS,1366x768
37,Dell,Notebook,17.3,8,2.8,52161.12,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,128,1024,0,0,AMD,Windows,1920x1080
38,HP,Notebook,15.6,4,1.86,26037.4032,No,HD Display,No,1366,768,Intel Core i5,2.5,0,1024,0,0,Intel,Windows,1366x768
39,HP,Notebook,15.6,8,2.1,46833.12,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Nvidia,Windows,1920x1080
40,Asus,Notebook,15.6,4,2.0,20725.92,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,0,1024,0,0,Intel,Other OS,1920x1080
41,Dell,Gaming,15.6,16,2.65,79866.72,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,1024,0,0,Nvidia,Windows,1920x1080
42,Asus,Notebook,15.6,8,2.3,27864.9072,No,HD Display,No,1366,768,Intel Core i5,2.5,0,1024,0,0,Nvidia,Other OS,1366x768
43,Acer,Notebook,15.6,4,2.2,36336.96,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
44,Dell,2 in 1 Convertible,17.3,12,2.77,53226.72,No,Full HD Display,Yes,1920,1080,Intel Core i5,1.6,0,1024,0,0,Nvidia,Windows,1920x1080
45,Apple,Ultrabook,13.3,8,1.37,75604.31999999999,Yes,Retina Display,No,2560,1600,Intel Core i5,2.0,256,0,0,0,Intel,MacOS,2560x1600
46,Lenovo,Notebook,15.6,4,2.2,19660.32,No,HD Display,No,1366,768,Intel Core i3,2.0,128,0,0,0,Intel,Other OS,1366x768
47,Asus,Gaming,17.3,8,3.2,69210.72,No,Full HD Display,No,1920,1080,AMD Processor,3.0,256,1024,0,0,AMD,Windows,1920x1080
48,Dell,Notebook,15.6,4,2.3,34045.92,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,AMD,Windows,1920x1080
49,Asus,Notebook,17.3,4,2.8,24828.48,No,HD Display,No,1366,768,Other Intel Processor,1.1,0,1024,0,0,Nvidia,Windows,1366x768
50,Lenovo,2 in 1 Convertible,10.1,4,0.69,16996.32,Yes,HD Display,Yes,1920,1200,Other Intel Processor,1.44,0,0,0,64,Intel,Other OS,1920x1200
51,Acer,Notebook,15.6,8,2.2,44808.48,Yes,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Nvidia,Windows,1920x1080
52,HP,Notebook,15.6,4,1.86,21231.5472,No,Full HD Display,No,1920,1080,AMD Processor,2.5,256,0,0,0,AMD,Windows,1920x1080
53,HP,Notebook,13.3,8,1.49,58767.84,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,512,0,0,0,Intel,Windows,1920x1080
54,Acer,Notebook,15.6,4,2.4,20459.52,No,HD Display,No,1366,768,Intel Core i3,2.4,0,1024,0,0,Intel,Windows,1366x768
55,Dell,Notebook,15.6,8,2.13,40908.384,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,AMD,Windows,1920x1080
56,HP,Notebook,15.6,4,1.91,23389.92,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,128,0,0,0,Intel,Windows,1920x1080
57,Asus,Notebook,15.6,4,2.0,31232.203200000004,No,HD Display,No,1366,768,Intel Core i5,2.5,256,0,0,0,Intel,Windows,1366x768
58,MSI,Gaming,17.3,16,2.43,130482.72,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,2048,0,0,Nvidia,Windows,1920x1080
59,Asus,Notebook,15.6,4,2.0,22111.2,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,256,0,0,0,Intel,Other OS,1920x1080
60,Dell,Notebook,17.3,16,2.8,69210.72,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,2048,0,0,AMD,Windows,1920x1080
61,Dell,Ultrabook,14.0,8,1.7,46833.12,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
62,Lenovo,Notebook,14.0,8,1.7,31914.72,Yes,Full HD Display,No,1920,1080,Intel Core i3,2.7,256,0,0,0,Intel,Other OS,1920x1080
63,Asus,Notebook,14.0,8,1.4,50136.48,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
64,HP,Notebook,15.6,8,1.86,36763.2,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,Intel,Windows,1920x1080
65,Asus,Ultrabook,15.6,16,1.8,105654.24,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,512,0,0,0,Nvidia,Windows,1920x1080
66,HP,Notebook,15.6,4,1.86,23373.4032,No,HD Display,No,1366,768,Intel Core i3,2.0,0,500,0,0,AMD,Windows,1366x768
67,HP,Notebook,14.0,4,1.44,12201.12,No,HD Display,No,1366,768,Other Intel Processor,1.6,32,0,0,0,Intel,Windows,1366x768
68,Lenovo,Notebook,15.6,4,1.9,29250.72,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,0,1024,0,0,Intel,Windows,1920x1080
69,Asus,Gaming,17.3,12,3.0,50562.72,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,0,1024,0,0,Nvidia,Other OS,1920x1080
70,Microsoft,Ultrabook,13.5,4,1.252,58021.92,No,HD Display,Yes,2256,1504,Intel Core i5,2.5,128,0,0,0,Intel,Windows,2256x1504
71,Dell,Ultrabook,13.3,8,1.4,50882.4,Yes,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,AMD,Windows,1920x1080
72,Dell,Notebook,15.6,8,2.2,46353.6,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,AMD,Windows,1920x1080
73,MSI,Gaming,17.3,8,2.7,58341.6,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,128,1024,0,0,Nvidia,Windows,1920x1080
74,Acer,Notebook,14.0,8,2.1,20725.92,No,HD Display,No,1366,768,Intel Core i3,2.0,0,1024,0,0,Intel,Windows,1366x768
75,Asus,Gaming,15.6,8,2.2,50562.72,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,0,1024,0,0,Nvidia,Windows,1920x1080
76,Lenovo,Notebook,15.6,8,2.2,27652.32,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,0,2048,0,0,Intel,Other OS,1920x1080
77,Dell,Notebook,15.6,8,2.02,45554.4,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,128,1024,0,0,Intel,Windows,1920x1080
78,Acer,Notebook,15.6,4,2.2,28238.4,No,Full HD Display,No,1920,1080,Intel Core i3,2.7,0,1024,0,0,Nvidia,Windows,1920x1080
79,HP,Notebook,17.3,8,2.5,52054.56,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,128,1024,0,0,Nvidia,Windows,1920x1080
80,Dell,Ultrabook,15.6,8,1.88,58403.4048,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
81,Apple,Ultrabook,12.0,8,0.92,80452.8,Yes,Retina Display,No,2304,1440,Intel Core i5,1.3,512,0,0,0,Intel,MacOS,2304x1440
82,HP,Notebook,14.0,8,1.63,45820.8,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
83,Lenovo,Notebook,15.6,4,2.2,21258.72,No,Full HD Display,No,1920,1080,AMD Processor,2.5,128,0,0,0,AMD,Windows,1920x1080
84,Acer,Notebook,15.6,4,2.1,21045.6,No,HD Display,No,1366,768,AMD Processor,3.0,0,1024,0,0,AMD,Windows,1366x768
85,Dell,Gaming,15.6,16,2.65,71874.72,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.8,128,1024,0,0,Nvidia,Windows,1920x1080
86,HP,Ultrabook,15.6,8,1.83,37242.72,Yes,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Nvidia,Windows,1920x1080
87,HP,Notebook,15.6,8,1.96,31914.1872,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,Intel,Windows,1920x1080
88,Asus,Gaming,15.6,16,2.2,77202.72,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.8,128,1024,0,0,Nvidia,Windows,1920x1080
89,Dell,Ultrabook,13.3,8,1.21,87858.72,Yes,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Intel,Windows,1920x1080
90,Asus,Gaming,15.6,8,2.45,37242.72,No,Full HD Display,No,1920,1080,AMD Processor,3.0,0,1024,0,0,AMD,Windows,1920x1080
91,Acer,Notebook,15.6,8,2.2,36709.92,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,0,1024,0,0,Nvidia,Windows,1920x1080
92,HP,Notebook,13.3,16,1.49,63776.16,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,512,0,0,0,Intel,Windows,1920x1080
93,Dell,Gaming,15.6,8,2.65,63669.6,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,Nvidia,Windows,1920x1080
94,Asus,Ultrabook,14.0,8,1.25,55890.72,No,Full HD Display,No,1920,1080,Intel Core i7,2.7,256,0,0,0,Intel,Windows,1920x1080
95,Acer,2 in 1 Convertible,13.3,8,1.5,45128.16,Yes,Full HD Display,Yes,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
96,Dell,Notebook,15.6,8,2.2,31962.672,No,Full HD Display,No,1920,1080,Intel Core i7,2.7,0,1024,0,0,AMD,Other OS,1920x1080
97,Dell,Notebook,15.6,4,2.2,25840.8,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,256,0,0,0,AMD,Other OS,1920x1080
98,Asus,Notebook,15.6,6,2.0,30742.56,No,Full HD Display,No,1920,1080,Intel Core i3,2.4,256,0,0,0,Nvidia,Windows,1920x1080
99,HP,Gaming,15.6,12,2.62,66546.72,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.8,128,1024,0,0,Nvidia,Windows,1920x1080
100,HP,Notebook,15.6,8,1.91,38308.32,No,Full HD Display,No,1920,1080,Intel Core i7,2.7,256,0,0,0,AMD,Windows,1920x1080
101,HP,Notebook,15.6,4,2.1,18594.72,No,Full HD Display,No,1920,1080,AMD Processor,1.5,0,500,0,0,AMD,Windows,1920x1080
102,Dell,Notebook,15.6,8,2.2,34472.16,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,0,1024,0,0,AMD,Other OS,1920x1080
103,HP,Ultrabook,13.3,8,1.38,59620.32,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.7,256,0,0,0,Nvidia,Windows,1920x1080
104,Microsoft,Ultrabook,13.5,8,1.252,71395.2,No,HD Display,Yes,2256,1504,Intel Core i5,2.5,256,0,0,0,Intel,Windows,2256x1504
105,HP,Notebook,14.0,6,1.58,35111.52,Yes,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,Nvidia,Windows,1920x1080
106,Lenovo,Notebook,15.6,4,1.85,22105.872,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,0,1024,0,0,Intel,Windows,1920x1080
107,Asus,Ultrabook,14.0,8,1.3,63563.04,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.7,256,0,0,0,Nvidia,Windows,1920x1080
108,MSI,Gaming,15.6,16,2.2,69210.72,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,1024,0,0,Nvidia,Windows,1920x1080
109,Lenovo,Notebook,14.0,8,1.58,78854.4,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.7,256,0,0,0,Intel,Windows,1920x1080
110,Asus,Ultrabook,15.6,16,1.5,67239.36,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,1024,0,0,Nvidia,Windows,1920x1080
111,Dell,Ultrabook,13.3,8,1.23,73473.12,No,Quad HD+ Display,Yes,3200,1800,Intel Core i7,2.4,256,0,0,0,Intel,Windows,3200x1800
112,Lenovo,2 in 1 Convertible,13.3,8,1.37,74538.72,Yes,Full HD Display,Yes,1920,1080,Intel Core i5,2.5,256,0,0,0,Intel,Windows,1920x1080
113,HP,Notebook,14.0,4,1.63,38468.16,Yes,HD Display,No,1366,768,Intel Core i5,1.6,0,500,0,0,Intel,Windows,1366x768
114,Dell,Ultrabook,13.3,8,1.21,86793.12,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
115,HP,2 in 1 Convertible,13.3,8,1.26,74538.1872,Yes,Full HD Display,Yes,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
116,HP,Notebook,14.0,8,1.63,57755.52,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,512,0,0,0,Intel,Windows,1920x1080
117,Dell,Notebook,15.6,8,2.16,60223.98239999999,Yes,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,1024,0,0,Nvidia,Windows,1920x1080
118,Asus,Notebook,17.3,4,2.0,30049.92,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,0,1024,0,0,Nvidia,Windows,1920x1080
119,Asus,Notebook,15.6,8,1.7,59567.04,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Nvidia,Windows,1920x1080
120,Acer,Notebook,15.6,6,2.1,25521.12,Yes,Full HD Display,Yes,1920,1080,Intel Core i3,2.4,0,1024,0,0,Intel,Windows,1920x1080
121,MSI,Gaming,15.6,16,1.8,119427.12,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,2048,0,0,Nvidia,Windows,1920x1080
122,Lenovo,Notebook,15.6,8,2.2,33513.119999999995,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,Nvidia,Other OS,1920x1080
123,HP,Notebook,17.3,16,2.5,67718.88,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,512,0,0,0,Nvidia,Windows,1920x1080
124,Acer,Notebook,15.6,4,2.1,24029.28,No,HD Display,No,1366,768,AMD Processor,3.0,256,0,0,0,AMD,Windows,1366x768
125,HP,Notebook,15.6,4,1.86,13799.52,No,HD Display,No,1366,768,Other Intel Processor,1.6,0,500,0,0,Intel,Other OS,1366x768
126,HP,Notebook,14.0,8,1.63,43263.36,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,0,1024,0,0,Intel,Windows,1920x1080
127,Asus,Notebook,14.0,4,1.65,14811.3072,No,HD Display,No,1366,768,AMD Processor,1.5,64,0,0,0,AMD,Windows,1366x768
128,Dell,Notebook,17.3,16,2.8,74378.87999999999,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,2048,0,0,AMD,Windows,1920x1080
129,HP,Notebook,17.3,8,2.5,49443.84,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
130,Dell,Notebook,15.6,8,2.36,34045.3872,No,HD Display,No,1366,768,Intel Core i5,2.5,0,1024,0,0,AMD,Windows,1366x768
131,Dell,Notebook,15.6,4,2.2,23922.72,No,Full HD Display,No,1920,1080,Intel Core i3,2.0,0,1024,0,0,AMD,Windows,1920x1080
132,Acer,Ultrabook,14.0,8,1.6,47099.52,Yes,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Intel,Windows,1920x1080
133,Acer,Notebook,15.6,4,2.2,30476.16,No,Full HD Display,No,1920,1080,Intel Core i3,2.7,256,0,0,0,Nvidia,Windows,1920x1080
134,HP,Notebook,15.6,8,2.05,31861.44,No,HD Display,No,1366,768,Intel Core i7,2.7,0,1024,0,0,Intel,Windows,1366x768
135,HP,Notebook,14.0,8,1.63,52640.64,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Intel,Windows,1920x1080
136,Lenovo,Notebook,15.6,4,1.9,13445.7408,No,HD Display,No,1366,768,Other Intel Processor,1.1,0,1024,0,0,Intel,Other OS,1366x768
137,Asus,Gaming,17.3,8,3.0,49976.64,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,128,1024,0,0,Nvidia,Windows,1920x1080
138,Lenovo,Notebook,15.6,4,2.2,26586.72,No,Full HD Display,No,1920,1080,Intel Core i5,2.5,0,1024,0,0,Nvidia,Other OS,1920x1080
139,HP,Notebook,13.3,4,1.32,37242.72,Yes,Full HD Display,No,1920,1080,Intel Core i5,2.5,256,0,0,0,Intel,Windows,1920x1080
140,Acer,Notebook,17.3,4,3.0,34898.4,Yes,Full HD Display,No,1920,1080,Intel Core i3,2.7,0,1024,0,0,Nvidia,Windows,1920x1080
141,Lenovo,Notebook,14.0,8,1.75,59461.5456,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,AMD,Windows,1920x1080
142,Lenovo,Gaming,15.6,8,2.4,46300.32,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,0,0,0,Nvidia,Other OS,1920x1080
143,Toshiba,Notebook,15.6,4,2.1,32074.56,No,HD Display,No,1366,768,Intel Core i5,2.3,0,500,0,0,Intel,Windows,1366x768
144,HP,Notebook,15.6,4,1.86,19660.32,No,HD Display,No,1366,768,AMD Processor,2.5,256,0,0,0,AMD,Windows,1366x768
145,Asus,Ultrabook,14.0,8,1.25,58554.72,No,Full HD Display,No,1920,1080,Intel Core i7,1.8,256,0,0,0,Intel,Windows,1920x1080
146,HP,Ultrabook,12.5,8,0.97,107305.92,Yes,4K Ultra HD Display,Yes,3840,2160,Other Intel Processor,1.2,512,0,0,0,Intel,Windows,3840x2160
147,Asus,Notebook,15.6,4,2.0,18328.32,No,Full HD Display,No,1920,1080,Other Intel Processor,1.1,0,1024,0,0,Intel,Windows,1920x1080
148,MSI,Gaming,17.3,16,2.9,108105.12,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,1024,0,0,Nvidia,Windows,1920x1080
149,Acer,Notebook,15.6,4,2.1,23816.16,No,HD Display,No,1366,768,Intel Core i3,2.0,0,1024,0,0,Intel,Windows,1366x768
150,Dell,Gaming,15.6,16,2.56,66560.5728,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,512,0,0,0,Nvidia,Windows,1920x1080
151,Dell,Gaming,15.6,8,2.62,47898.72,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,0,0,1024,0,Nvidia,Windows,1920x1080
152,Lenovo,Notebook,15.6,4,1.9,26533.44,No,HD Display,No,1366,768,Intel Core i5,2.5,128,0,0,0,Intel,Windows,1366x768
153,MSI,Gaming,17.3,16,2.8,100699.2,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,1024,0,0,Nvidia,Windows,1920x1080
154,HP,Ultrabook,14.0,4,1.48,57648.96,No,Full HD Display,No,1920,1080,Intel Core i5,2.7,256,0,0,0,Intel,Windows,1920x1080
155,HP,Notebook,15.6,6,1.91,32980.32,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,AMD,Windows,1920x1080
156,Lenovo,2 in 1 Convertible,14.0,4,1.74,33513.119999999995,Yes,Full HD Display,Yes,1920,1080,Intel Core i3,2.4,256,0,0,0,Intel,Windows,1920x1080
157,Asus,2 in 1 Convertible,13.3,8,1.1,70063.2,No,Full HD Display,Yes,1920,1080,Intel Core i5,1.6,256,0,0,0,Intel,Windows,1920x1080
158,Dell,2 in 1 Convertible,15.6,8,1.56,55890.72,No,Full HD Display,Yes,1920,1080,Intel Core i7,1.8,256,0,0,0,Intel,Windows,1920x1080
159,Toshiba,Notebook,15.6,4,2.1,23816.16,No,HD Display,No,1366,768,Intel Core i3,2.2,0,500,0,0,Intel,Windows,1366x768
160,Asus,Notebook,15.6,4,2.03,21471.84,No,HD Display,No,1366,768,AMD Processor,3.0,0,1024,0,0,AMD,Windows,1366x768
161,Acer,Notebook,17.3,4,3.0,42890.4,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Nvidia,Windows,1920x1080
162,Dell,Notebook,15.6,8,2.13,38787.84,No,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,AMD,Windows,1920x1080
163,Lenovo,Gaming,15.6,16,2.5,57489.12,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,0,0,0,Nvidia,Windows,1920x1080
164,Acer,Notebook,15.6,4,2.1,18541.44,No,HD Display,No,1366,768,Other Intel Processor,1.1,0,1024,0,0,Intel,Windows,1366x768
165,MSI,Gaming,15.6,16,2.4,95850.72,Yes,Full HD Display,No,1920,1080,Intel Core i7,2.8,256,1024,0,0,Nvidia,Windows,1920x1080
166,Acer,Notebook,15.6,4,2.1,19367.8128,No,HD Display,No,1366,768,Other Intel Processor,1.1,0,1024,0,0,Intel,Windows,1366x768
167,Dell,Gaming,15.6,8,2.56,56502.9072,No,Full HD Display,No,1920,1080,Intel Core i7,2.8,128,1024,0,0,Nvidia,Windows,1920x1080
168,Acer,Notebook,17.3,8,3.0,45501.12,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,256,0,0,0,Nvidia,Windows,1920x1080
169,HP,Notebook,13.3,4,1.49,40173.12,Yes,Full HD Display,No,1920,1080,Intel Core i5,1.6,0,500,0,0,Intel,Windows,1920x1080
170,Huawei,Ultrabook,13.0,8,1.05,71874.72,Yes,Full HD Display,No,2160,1440,Intel Core i5,2.5,256,0,0,0,Intel,Windows,2160x1440
171,HP,Notebook,17.3,6,2.71,37242.72,Yes,Full HD Display,No,1920,1080,Intel Core i5,2.5,0,2048,0,0,AMD,Windows,1920x1080
172,Lenovo,Notebook,15.6,4,2.2,16463.52,No,HD Display,No,1366,768,AMD Processor,2.9,0,500,0,0,AMD,Other OS,1366x768
173,Toshiba,Notebook,15.6,4,2.0,26053.92,No,HD Display,No,1366,768,Intel Core i3,2.4,0,500,0,0,Intel,Windows,1366x768
